loan_id,transaction_name,esma_transaction_identifier,reporting_date,closing_date,originator_name,servicer_name,currency,country,origination_year,maturity_date_proxy,original_balance,current_balance,repayment_type,interest_only_flag,current_interest_rate_pct,rate_type,remaining_interest_fixed_period_months,fixed_interest_period_end_in_months,seasoning_months,remaining_term_months,legal_maturity_months,loan_part_count,debtor_count,property_type,province,economic_region_nuts3,construction_year,occupancy,property_usage,employment_status,self_employed_flag,borrower_type,loan_purpose,buy_to_let_flag,nhg_flag,guarantee_type,oltomv_original,cltomv_current,cltimv_current,original_market_value_at_origination,current_original_market_value,indexed_market_value,property_valuation_type,loan_to_income,payment_due_to_income_pct,borrower_annual_income,scheduled_monthly_payment,arrears_bucket,arrears_amount,days_past_due,default_crr_flag,performing_status,foreclosure_flag,forbearance_flag,restructuring_flag,epc_label,epc_issue_year,primary_energy_demand_kwh_m2,construction_deposit_flag,construction_deposit_pct,construction_deposit_amount,interest_payment_frequency,principal_payment_frequency,balance_bucket,cltomv_current_bucket,cltimv_current_bucket,oltomv_original_bucket,loan_to_income_bucket,payment_due_to_income_pct_bucket,construction_year_bucket
GL2026_000011,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2025,2046-09-28,347797.30,305595.39,Annuity,N,3.69,Fixed,180,180,17,249,266,2,2,Apartment,Noord-Holland,NL321,2024,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,88.70,66.28,32.09,392105.19,461067.28,952307.23,Indexed/Origination Proxy,2.51,25.58,121751.15,2595.33,Performing,0.00,0,N,Non-defaulted,N,N,N,A+++,2025,29,N,0.00,0.00,Monthly,Monthly,350k-400k,60-70,30-40,80-90,2.5-3.0,25-30,2024-2025
GL2026_000012,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2023,2045-10-28,258715.25,243336.33,InterestOnly,Y,3.27,Fixed,99,99,40,238,278,2,2,House,Utrecht,NL350,2022,OwnerOccupied,OwnerOccupied,SelfEmployed,Y,Consumer,Purchase/Refinance,N,N,None,71.40,35.91,23.79,362346.29,677628.32,1022851.32,Indexed/Origination Proxy,2.40,24.88,101390.14,2102.16,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2022,81,N,0.00,0.00,Monthly,Monthly,300k-350k,20-30,30-40,70-80,2.0-2.5,20-25,2022-2023
GL2026_000013,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2023,2048-11-28,401953.39,393234.64,InterestOnly,Y,2.71,Fixed,3,3,45,275,320,2,2,Apartment,Noord-Brabant,NL415,2024,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,106.00,89.95,53.78,379201.31,437170.25,731191.22,Indexed/Origination Proxy,3.67,8.35,107148.40,745.57,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2025,128,N,0.00,0.00,Monthly,Monthly,500k-550k,50-60,80-90,50-60,3.5-4.0,5-10,2024-2025
GL2026_000014,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2024,2047-02-28,600058.23,515599.00,Annuity,N,3.26,Fixed,9,9,36,254,290,3,2,House,Zuid-Holland,NL366,1964,OwnerOccupied,OwnerOccupied,SelfEmployed,Y,Consumer,Purchase/Refinance,N,N,None,55.93,51.80,36.67,1072873.65,995364.86,1406051.27,Indexed/Origination Proxy,1.83,18.63,281748.09,4374.14,Performing,0.00,0,N,Non-defaulted,N,N,N,A++++,2025,-69,N,0.00,0.00,Monthly,Monthly,650k-700k,50-60,30-40,50-60,1.5-2.0,15-20,1960-1970
GL2026_000015,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2024,2049-06-28,260328.62,232405.63,Annuity,N,3.17,Fixed,112,112,31,282,313,2,2,House,Gelderland,NL221,2009,OwnerOccupied,OwnerOccupied,Other,N,Consumer,Purchase/Refinance,N,N,None,73.97,66.44,58.79,351938.11,349797.76,395314.90,Indexed/Origination Proxy,4.75,18.60,48927.50,758.38,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2026,140,Y,0.30,690.13,Monthly,Monthly,250k-300k,60-70,50-60,50-60,4.5-5.0,15-20,2005-2010
GL2026_000016,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2024,2049-12-28,169313.13,163855.80,Annuity,N,3.51,Fixed,89,89,22,276,298,2,2,House,Friesland,NL126,2024,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,93.58,85.04,28.38,180928.76,192680.86,577363.64,Indexed/Origination Proxy,4.15,11.08,39483.33,364.56,Performing,0.00,0,N,Non-defaulted,N,N,N,A+++,2023,30,N,0.00,0.00,Monthly,Monthly,200k-250k,20-30,80-90,60-70,4.0-4.5,10-15,2024-2025
GL2026_000017,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2023,2045-09-28,296927.14,280480.36,InterestOnly,Y,2.70,Fixed,172,172,39,237,276,2,2,House,Flevoland,NL230,2002,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,97.92,90.63,20.42,303234.42,309478.49,1373557.10,Indexed/Origination Proxy,4.19,28.59,66940.42,1594.86,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2024,156,N,0.00,0.00,Monthly,Monthly,350k-400k,90-100,20-30,70-80,4.0-4.5,25-30,2000-2005
GL2026_000018,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2024,2050-10-28,288047.99,262092.03,Annuity,N,3.71,Fixed,59,59,30,298,328,2,2,Apartment,Noord-Holland,NL32A,2006,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,100.63,80.65,54.14,286244.65,324974.62,484100.54,Indexed/Origination Proxy,4.12,18.57,63614.57,984.44,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2026,91,N,0.00,0.00,Monthly,Monthly,300k-350k,80-90,50-60,40-50,4.0-4.5,15-20,2005-2010
GL2026_000019,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2025,2050-08-28,84501.51,83626.62,InterestOnly,Y,3.96,Fixed,204,204,17,296,313,2,2,House,Zuid-Holland,NL361,2002,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,96.09,87.87,47.10,87939.96,95170.84,177551.21,Indexed/Origination Proxy,4.42,29.43,18920.05,464.01,Performing,0.00,0,N,Non-defaulted,N,N,N,A+++,2025,21,N,0.00,0.00,Monthly,Monthly,100k-150k,80-90,40-50,70-80,4.0-4.5,25-30,2000-2005
GL2026_000020,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2024,2047-05-28,447873.49,397758.59,Annuity,N,3.08,Fixed,215,215,27,257,284,2,2,House,Zuid-Holland,NL364,1993,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,74.14,72.64,56.06,604091.57,547575.15,709522.99,Indexed/Origination Proxy,4.48,4.86,88785.40,359.58,Performing,0.00,0,N,Non-defaulted,N,N,N,A+,2023,73,N,0.00,0.00,Monthly,Monthly,500k-550k,70-80,50-60,60-70,4.0-4.5,<5,1990-2000
GL2026_000021,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2022,2050-10-28,264282.58,243643.95,Annuity,N,2.16,Fixed,88,88,54,298,352,2,2,House,Noord-Holland,NL328,1971,OwnerOccupied,OwnerOccupied,Other,N,Consumer,Purchase/Refinance,N,N,None,101.19,44.93,29.55,261174.60,542274.54,824514.21,Indexed/Origination Proxy,4.34,27.00,56139.16,1263.13,Performing,0.00,0,N,Non-defaulted,N,N,N,A+,2026,52,N,0.00,0.00,Monthly,Monthly,300k-350k,40-50,20-30,100-110,4.0-4.5,25-30,1970-1980
GL2026_000022,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2024,2044-11-28,170093.08,159595.25,InterestOnly,Y,3.59,Fixed,190,190,28,227,255,1,2,House,Gelderland,NL225,2012,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,Y,NHG,97.80,84.57,10.19,173919.30,188713.79,1566194.80,Indexed/Origination Proxy,2.76,19.67,57824.37,947.84,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2024,152,N,0.00,0.00,Monthly,Monthly,200k-250k,10-20,20-30,80-90,2.5-3.0,15-20,2010-2015
GL2026_000023,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2024,2044-09-28,105421.10,90171.09,Annuity,N,3.81,Fixed,104,104,26,225,251,3,2,House,Noord-Brabant,NL416,1796,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,Y,NHG,86.19,81.80,10.40,122312.45,110233.61,867029.71,Indexed/Origination Proxy,3.78,20.03,23854.79,398.18,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2025,122,N,0.00,0.00,Monthly,Monthly,100k-150k,20-30,10-20,10-20,3.5-4.0,20-25,<1900
GL2026_000024,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2023,2048-03-28,386124.76,350667.80,Annuity,N,3.11,Fixed,1,1,35,267,302,2,1,House,Drenthe,NL132,1935,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,77.21,57.78,42.21,500096.83,606901.70,830769.49,Indexed/Origination Proxy,3.77,26.88,93015.33,2083.54,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2023,103,N,0.00,0.00,Monthly,Monthly,450k-500k,50-60,40-50,70-80,3.5-4.0,25-30,1930-1940
GL2026_000025,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2025,2048-06-28,363961.59,345746.54,Annuity,N,2.81,Fixed,12,12,11,270,282,2,1,Apartment,Zuid-Holland,NL361,1998,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,71.68,71.18,7.54,507758.91,485735.52,4585497.88,Indexed/Origination Proxy,3.63,14.30,95246.98,1135.03,Performing,0.00,0,N,Non-defaulted,N,N,N,A++++,2026,-49,N,0.00,0.00,Monthly,Monthly,400k-450k,70-80,<10,70-80,3.5-4.0,10-15,1990-2000
GL2026_000026,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2025,2038-11-28,169635.71,163633.24,Annuity,N,3.71,Fixed,105,105,12,155,167,1,1,House,Noord-Holland,NL323,1983,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,97.74,61.23,15.12,173558.12,267243.57,1082230.42,Indexed/Origination Proxy,4.43,24.91,36937.53,766.76,Performing,0.00,0,N,Non-defaulted,N,N,N,A+++,2024,9,N,0.00,0.00,Monthly,Monthly,200k-250k,60-70,10-20,90-100,4.0-4.5,20-25,1980-1990
GL2026_000027,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2024,2044-06-28,386418.94,350706.59,Annuity,N,3.31,Fixed,187,187,24,222,246,2,2,House,Gelderland,NL225,1992,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,82.97,75.01,21.44,465733.33,467546.45,1635758.35,Indexed/Origination Proxy,3.67,27.40,95560.38,2181.96,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2024,102,Y,0.12,416.55,Monthly,Monthly,450k-500k,20-30,70-80,50-60,3.5-4.0,25-30,1990-2000
GL2026_000028,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2023,2046-04-28,236696.74,224649.30,Annuity,N,2.82,Fixed,38,38,35,244,279,1,2,Apartment,Noord-Holland,NL323,1838,OwnerOccupied,OwnerOccupied,Other,N,Consumer,Purchase/Refinance,N,Y,NHG,94.14,69.09,55.08,251430.57,325154.58,407860.02,Indexed/Origination Proxy,2.03,17.05,110664.68,1572.36,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2024,130,N,0.00,0.00,Monthly,Monthly,250k-300k,60-70,50-60,80-90,2.0-2.5,15-20,<1900
GL2026_000029,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2022,2050-09-28,253083.78,235616.48,Annuity,N,2.16,Fixed,36,36,54,297,351,2,1,House,Flevoland,NL230,2005,OwnerOccupied,OwnerOccupied,SelfEmployed,Y,Consumer,Purchase/Refinance,N,N,None,106.00,92.60,30.61,238758.28,254445.44,769736.95,Indexed/Origination Proxy,4.81,20.74,48984.72,846.62,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2023,90,N,0.00,0.00,Monthly,Monthly,300k-350k,30-40,90-100,50-60,4.5-5.0,20-25,2005-2010
GL2026_000030,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2024,2043-03-28,646631.86,605707.75,InterestOnly,Y,3.51,Fixed,113,113,28,207,235,3,2,House,Utrecht,NL350,1987,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,67.65,40.63,34.93,955849.02,1490789.44,1734061.69,Indexed/Origination Proxy,1.62,12.39,373893.67,3860.45,Performing,0.00,0,N,Non-defaulted,N,N,N,A+++,2023,25,N,0.00,0.00,Monthly,Monthly,750k-800k,30-40,40-50,60-70,1.5-2.0,10-15,1980-1990
GL2026_000031,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2025,2047-08-28,429007.82,405229.13,Annuity,N,3.34,Fixed,103,103,24,260,284,3,1,House,Noord-Brabant,NL416,1927,OwnerOccupied,OwnerOccupied,SelfEmployed,Y,Consumer,Purchase/Refinance,N,N,None,68.91,66.22,47.29,622562.50,611943.72,856902.37,Indexed/Origination Proxy,4.31,14.91,94020.68,1168.21,Performing,0.00,0,N,Non-defaulted,N,N,N,A+,2026,62,N,0.00,0.00,Monthly,Monthly,500k-550k,60-70,40-50,60-70,4.0-4.5,10-15,1920-1930
GL2026_000032,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2022,2050-04-28,455546.53,397963.82,Annuity,N,1.93,Fixed,63,63,60,292,352,2,1,House,Noord-Holland,NL32A,1968,OwnerOccupied,OwnerOccupied,Other,N,Consumer,Purchase/Refinance,N,N,None,70.30,24.04,15.48,648003.60,1655423.54,2570825.71,Indexed/Origination Proxy,3.02,21.02,131776.10,2308.28,Performing,0.00,0,N,Non-defaulted,N,N,N,A+++,2023,21,N,0.00,0.00,Monthly,Monthly,500k-550k,20-30,10-20,70-80,3.0-3.5,20-25,1960-1970
GL2026_000033,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2024,2049-12-28,805777.87,691388.05,Annuity,N,4.50,Fixed,50,50,21,276,297,3,2,House,Zuid-Holland,NL361,2009,OwnerOccupied,OwnerOccupied,Other,N,Consumer,Purchase/Refinance,N,N,None,36.86,36.36,31.97,2186049.57,1901507.29,2162615.11,Indexed/Origination Proxy,4.13,25.77,167406.31,3595.05,Performing,0.00,0,N,Non-defaulted,N,N,N,A+++,2024,13,N,0.00,0.00,Monthly,Monthly,850k-900k,30-40,30-40,30-40,4.0-4.5,25-30,2005-2010
GL2026_000034,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2016,2043-12-28,444086.56,380891.25,Annuity,N,1.95,Fixed,16,16,116,204,320,2,2,Apartment,Noord-Brabant,NL416,1970,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,90.30,35.62,32.58,491790.21,1069318.50,1169095.30,Indexed/Origination Proxy,4.32,19.75,88169.27,1451.12,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2025,97,N,0.00,0.00,Monthly,Monthly,450k-500k,30-40,30-40,90-100,4.0-4.5,15-20,1970-1980
GL2026_000035,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2022,2046-07-28,661276.16,595642.98,Annuity,N,1.97,Fixed,50,50,45,247,292,2,2,House,Utrecht,NL350,2001,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,97.56,73.25,54.89,677814.84,813164.48,1085157.55,Indexed/Origination Proxy,4.45,21.40,133852.36,2387.03,Performing,0.00,0,N,Non-defaulted,N,N,N,A+,2023,67,N,0.00,0.00,Monthly,Monthly,750k-800k,50-60,70-80,20-30,4.0-4.5,20-25,2000-2005
GL2026_000036,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2023,2041-09-28,261911.24,238319.09,Annuity,N,3.04,Fixed,114,114,33,189,222,1,2,House,Flevoland,NL230,2003,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,106.00,94.22,62.60,247086.08,252938.96,380701.42,Indexed/Origination Proxy,1.83,14.18,130229.01,1538.87,Performing,0.00,0,N,Non-defaulted,N,N,N,A+,2023,51,N,0.00,0.00,Monthly,Monthly,300k-350k,90-100,60-70,10-20,1.5-2.0,10-15,2000-2005
GL2026_000037,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2022,2047-03-28,311841.50,278616.90,Annuity,N,3.12,Fixed,198,198,59,255,314,3,1,House,Flevoland,NL230,2003,OwnerOccupied,OwnerOccupied,Employed,N,Consumer,Purchase/Refinance,N,N,None,91.42,67.99,26.92,341108.62,409791.00,1034981.05,Indexed/Origination Proxy,3.06,8.08,91051.27,613.08,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2024,115,N,0.00,0.00,Monthly,Monthly,350k-400k,60-70,20-30,90-100,3.0-3.5,5-10,2000-2005
GL2026_000038,Green Lion 2026-1 B.V.,3TK20IVIUJ8J3ZU0QE75N202601,2026-03-31,2026-02-03,ING,ING,EUR,NL,2022,2047-12-28,386678.43,365634.39,Annuity,N,2.34,Fixed,13,13,44,252,296,1,2,House,Noord-Holland,NL321,1975,OwnerOccupied,OwnerOccupied,SelfEmployed,Y,Consumer,Purchase/Refinance,N,N,None,90.31,77.56,43.88,428167.90,471421.34,833259.78,Indexed/Origination Proxy,1.60,16.23,228521.49,3090.75,Performing,0.00,0,N,Non-defaulted,N,N,N,A,2023,99,N,0.00,0.00,Monthly,Monthly,450k-500k,40-50,70-80,90-100,1.5-2.0,15-20,1970-1980
